title,author,publisher,release_year,pages,description,img,promoted,genre_id
"Złodziejka Cieni","Elena Nightshade","Ciemne Zagadki",2003,400,"Elena Nightshade,utalentowana złodziejka,zostaje wciągnięta w intrygującą grę z przeciwnikiem,który operuje w cieniu. Kiedy zagadkowe kradzieże zaczynają zagrażać równowadze między gangami miejskimi,Elena musi użyć swojego sprytu i umiejętności,aby odkryć tożsamość tajemniczego złodzieja i stawić mu czoła,zanim całe miasto popadnie w chaos.","Zlodziejka_Cieni.png",false,3
"Bezlitosna Gra","Dylan Steel","Mroczne Intrygi",2003,380,"Dylan Steel,doświadczony detektyw,zostaje wplątany w bezlitosną grę zorganizowanego przestępstwa. Kiedy seria brutalnych morderstw wstrząsa miastem,Steel musi śledzić zimną i bezlitosną ścieżkę zbrodni,odkrywając intrygi,zdrady i mroczne tajemnice,które prowadzą do szczytu przestępczego imperium.","Bezlitosna_Gra.png",false,3
"Śmiertelne Sekrety","Olivia Noir","Zagadkowe Sprawy",2013,360,"W świecie pełnym zdrad,kłamstw i śmiertelnych tajemnic,detektyw Olivia Noir musi rozwikłać skomplikowaną sprawę morderstwa. Kiedy ofiary zaczynają ujawniać swoje mroczne sekrety,Noir odkrywa,że każdy ma coś do ukrycia. Czy rozwiąże zagadkę przed tym,jak kolejne sekrety przyniosą śmierć?","Smiertelne_Sekrety.png",false,3
"Zakazane Miasto","Nathan Blackwell","Mroczne Kąty",2003,400,"W tajemniczym zakazanym mieście,gdzie prawo nie obowiązuje,a korupcja sięga szczytu,detektyw Nathan Blackwell zostaje wysłany,aby zapanować nad rosnącym chaosem. W miarę jak grzechy przeszłości wypływają na powierzchnię,Blackwell musi stawić czoła moralnym dylematom i skomplikowanym relacjom,aby przywrócić sprawiedliwość w zakazanym mieście.","Zakazane_Miasto.png",True,3
"Mroczne Nocne Łowy","Victoria Shadowsong","Ciemne Zagadki",2003,380,"W świetle księżyca,Victoria Shadowsong,prywatna detektyw i łowczyni nagród,tropi mroczne tajemnice podziemnego świata przestępczego. Kiedy brutalne morderstwa zaczynają wpływać na równowagę sił w podziemiu,Shadowsong musi użyć swoich zdolności,aby odkryć mordercę zanim ten zrobi kolejny krok w kierunku chaosu.","Mroczne_Nocne_Lowy.png",false,3
"Zaginione Miasto","Lucas Vanish","Zagadkowe Sprawy",2013,360,"Lucas Vanish,były policyjny detektyw,zostaje wezwany,aby odnaleźć zaginione miasto,które zniknęło z mapy. W miarę jak śledztwo rozwija się,Vanish odkrywa,że miasto skrywa mroczne tajemnice i jest kluczem do starożytnej zagadki. Czy zdoła odnaleźć zaginione miasto zanim stanie się ono przyczyną katastrofy?","Zaginione_Miasto.png",false,3
"Zimny Ślad","Eva Frost","Lodowe Intrygi",2016,420,"Eva Frost,lodowa detektyw,zostaje postawiona przed trudnym zadaniem rozwiązania zagadki serii tajemniczych porwań. W świecie lodowej magii i zimnych intryg,Frost musi roztopić zimny ślad i odkryć tożsamość tajemniczego porywacza,zanim nadejdzie zimowa nocy.","Zimny_Slad.png",false,3
"Ostatnia Gra","Michael Gambit","Mistrzowskie Zagadki",2003,400,"W grze z mistrzowskimi zagadkami,detektyw Michael Gambit zostaje postawiony przed ostatnią grą,która może zmienić wszystko. Kiedy tajemniczy przeciwnik manipuluje rzeczywistością,Gambit musi ułamać kod i rozwiązać ostatnią zagadkę,zanim upadnie zasłona mrocznej intrygi.","Ostatnia_Gra.png",false,3
"Mroczne Ulice","Sophia Shadow","Ciemne Zagadki",2003,380,"Sophia Shadow,doświadczona detektyw,zostaje postawiona przed wyzwaniem rozwiązania serii zbrodni,które terroryzują mroczne ulice miasta. W miarę jak śledztwo prowadzi ją przez zaułki zdrady i mroczne sekrety,Shadow musi stawić czoła własnym demonom przeszłości,aby przynieść sprawiedliwość ofiarom.","Mroczne_Ulice.png",false,4
"Miłość pod Wieżą Eiffla","Sophie Heart","Romantyczne Opowieści",2003,350,"Sophie Heart przenosi czytelników do magicznego Paryża,gdzie miłość kwitnie pod cieniem Wieży Eiffla. Główna bohaterka,Emma,przypadkiem spotyka tajemniczego artystę,który sprawia,że jej życie staje się pełne romansu,przygód i piękna. Czy miłość pod Wieżą Eiffla przetrwa próby czasu i przeciwności losu?","Milosc_pod_Wieza_Eiffla.png",true,4
"Deszczowa Noc  ","  Aiden Rain","  Miłosne Historie",2003,320,"Deszczowa noc,tajemnicza i pełna magii,staje się świadkiem narodzin niezwykłej miłości. Aiden Rain ukazuje historię zakazanej miłości między dwójką dusz,które z pozoru są ze sobą niezgodne. Czy siła ich uczuć pokona opory społeczne i przetrwa nieuchronne burze życiowych wyborów?","Deszczowa_Noc.png",false,4
"Serce z Szmaragdu","Luna Emerald","Zakazane Romansy",2013,310,"Luna Emerald przedstawia opowieść o zakazanej miłości między dziedziczką rodu,a tajemniczym mężczyzną o szmaragdowych oczach. W świecie pełnym intryg i niebezpieczeństw,bohaterowie muszą pokonać przeciwności,aby być razem. Czy ich serca z szmaragdu przetrwają próby czasu?","Serce_z_Szmaragdu.png",false,4
"Gdzie Gwiazdy Płaczą  ","  Eva Stardust","  Wzruszające Opowieści",2016,380,"Eva Stardust przenosi czytelników w podróż przez czas i przestrzeń,gdzie miłość kwitnie pod gwiazdami. Bohaterowie,pochodzący z różnych epok historycznych,muszą pokonać bariery czasu,aby być razem. Czy ich miłość przetrwa próbę odległości i losu?","Gdzie_Gwiazdy_Placza.png",false,4
"Czerwone Wstążki  ","  Alex Ruby","  Romantyczne Opowieści",2003,360,"Alex Ruby snuje historię o miłości,która tkwi w czerwonych wstążkach,łącząc losy dwóch ludzi. W miarę jak czerwone wstążki splatają się wokół ich serc,bohaterowie muszą zmierzyć się z przeszłością i pokonać przeciwności,aby odnaleźć prawdziwe szczęście.","Czerwone_Wstazki.png",false,4
"Ogniste Pocałunki","Ignatius Blaze","Romantyczne Opowieści",2013,330,"Ignatius Blaze kreśli historię ognistych pocałunków,które zapalają miłość między dwójką sprzecznych bohaterów. W świecie pełnym namiętności i emocji,bohaterowie muszą znaleźć równowagę między płomieniami uczuć a rzeczywistością. Czy ogniste pocałunki przetrwają próbę czasu?","Ogniste_Pocalunki.png",false,4
"Pod Gwiazdami Morza","Stella Maris","Wzruszające Opowieści",2016,370,"Stella Maris opowiada historię miłości rozkwitającej pod gwiazdami morza. Bohaterowie,związani wspomnieniami z dzieciństwa i tajemnicą zaginionego skarbu,muszą odnaleźć swoją drogę do siebie. Czy pod gwiazdami morza odnajdą spójność swoich serc?","Pod_Gwiazdami_Morza.png",false,4
"Kwiaty Zakazanej Miłości","Flora Forbidden","Zakazane Romansy",2003,350,"Flora Forbidden prezentuje opowieść o zakazanej miłości kwitnącej jak kwiaty w ogrodzie zakazanym. Bohaterowie,związani lojalnością i zakazanym uczuciem,muszą zmierzyć się z konsekwencjami swojej miłości. Czy kwiaty zakazanej miłości przetrwają w ogrodzie zakazanym?","Kwiaty_Zakazanej_Milosci.png",false,4
"Zaczarowany Las","Emma Enchanting","Baśniowe Opowieści",2013,32,"Emma Enchanting opowiada o przygodach małego elfa,który wyrusza na poszukiwanie zaginionego skarbu w zaczarowanym lesie. Znajdzie nowych przyjaciół,pokona przeszkody i odkryje magię prawdziwej przyjaźni.","Zaczarowany_Las.png",false,5
"Przygody Kolorowego Smoka","Oliver Rainbow","Kolorowe Opowieści",2003,28,"Oliver Rainbow przenosi dziecięcych czytelników w świat pełen kolorów i przygód. Kolorowy smok wyrusza na podróż,aby przywrócić barwy,które zniknęły z jego krainy. Czy dzieci pomogą mu przywrócić magię kolorów?","Przygody_Kolorowego_Smoka.png",false,5
"Magiczna Kraina Cukierków","Candy Sparkle","Słodkie Opowieści",2003,36,"Candy Sparkle opowiada o magicznej krainie cukierków,gdzie wszystko jest możliwe. Dziecięcy bohaterowie odkrywają tajemnice krainy,spotykają słodkie postacie i uczą się ważnych wartości poprzez przygody pełne cukrowego uroku.","Magiczna_Kraina_Cukierkow.png",false,5
"Wielka Wyprawa Małego Niedźwiadka","Teddy Adventure","Przyjacielskie Historie",2013,30,"Teddy Adventure opowiada o wielkiej wyprawie małego niedźwiadka,który marzy o odkrywaniu świata. Z pomocą przyjaciół zwierząt,przezwycięży trudności i nauczy się,że największe przygody czekają tuż za rogiem.","Wielka_Wyprawa_Malego_Niedzwiadka.png",false,5
"Przygody Małej Wróżki","Fiona Fairy","Baśniowe Opowieści",2003,34,"Fiona Fairy opowiada o przygodach małej wróżki,która wyrusza na misję przywrócenia magii do swojego wróżkowego królestwa. Dziecięcy czytelnicy odkryją z nią magiczne zakamarki wróżkowego świata i nauczą się,że siła tkwi w wierze i dobrej woli.","Przygody_Malej_Wrozki.png",false,5
"Sensacyjne Poszukiwania Skarbów","Captain Adventure","Przygodowe Opowieści",2003,38,"Captain Adventure przedstawia historię sensacyjnych poszukiwań skarbów,gdzie grupa dzielnych dzieci wyrusza na pełną niebezpieczeństw wyprawę. Razem pokonają pułapki,rozwiążą zagadki i odkryją skarb ukryty na tajemniczej wyspie.","Sensacyjne_Poszukiwania_Skarbow.png",false,5
"Zaklęta Księga Zabawek","Mia Magic","Magiczne Opowieści",2016,32,"Mia Magic opowiada o zaklętej księdze zabawek,która ożywa w nocy,zapewniając dzieciom niezapomniane przygody. Bohaterowie muszą współpracować z magicznymi postaciami,aby uratować świat przed szalonym czarnoksiężnikiem,który chce przejąć kontrolę nad wszystkimi zabawkami.","Zakleta_Ksiega_Zabawek.png",false,5
"Podwodne Przygody Koralii","Coralie Mermaid","Baśniowe Opowieści",2003,40,"Coralie Mermaid opowiada o podwodnych przygodach małej syrenki,która marzy o poznawaniu nowych miejsc i przyjaciół. Wraz z kolorowymi stworzeniami morskiego świata,Coralie odkrywa tajemnice oceanu i uczy dzieci o wartości przyjaźni i ochrony środowiska.","Podwodne_Przygody_Koralii.png",false,5
"Skarby Księżycowego Ogrodu","Luna Gardener","Magiczne Opowieści",2003,36,"Luna Gardener opowiada o skarbach ukrytych w księżycowym ogrodzie,gdzie dziecięcy bohaterowie stają się opiekunami magicznych roślin. Wspólnie z przyjaciółmi roślinami,dzieci odkryją piękno natury i tajemnice zaklętego ogrodu.","Skarby_Ksiezycowego_Ogrodu.png",false,5
"Przygody Księżycowego Królika","Moonlight Bunny","Przyjacielskie Historie",2016,28,"Moonlight Bunny opowiada o przygodach uroczego księżycowego królika,który wyrusza na podróż po nocy,by pomóc gwiazdom w świeceniu jasno na nocnym niebie. Dziecięcy czytelnicy dowiedzą się,jak małe gesty mogą sprawić wielką różnicę w magicznym świecie.","Przygody_Ksiezycowego_Krolika.png",false,5
"Wędrówka po Wszechświecie","Astrid Explorer","Kosmiczne Odkrycia",2013,256,"Astrid Explorer zabiera czytelników w fascynującą podróż po wszechświecie,odkrywając sekrety planet,gwiazd i galaktyk. Książka pełna jest wspaniałych ilustracji i ciekawostek naukowych,które rozbudzą zainteresowanie kosmosem.","Wedrowka_po_Wszechswiecie.png",false,6
"Tajemnice Mikroświata","Dr. Microscope","Mikroskopowe Odkrycia",2003,192,"Dr. Microscope przenosi czytelników w niewidzialny świat mikroorganizmów,bakterii i komórek. Książka opisuje fascynujące procesy zachodzące w mikroświecie,korzystając z prostego języka i ilustracji.","Tajemnice_Mikroswiata.png",false,6
"Wielkie Eksperymenty Dla Małych Naukowców","Professor Curious","Naukowe Odkrycia",2003,160,"Professor Curious prezentuje serię prostych,ale edukacyjnych eksperymentów,które można przeprowadzać w domu. Książka skierowana jest do młodych naukowców,chcących zdobywać wiedzę poprzez zabawę.","Wielkie_Eksperymenty_Dla_Malych_Naukowcow.png",false,6
"Wędrówka przez Dżunglę DNA","Gene Explorer","Genetyczne Odkrycia",2013,220,"Gene Explorer opowiada o fascynującej podróży przez dżunglę DNA,gdzie czytelnicy poznają tajemnice genetyki i dziedziczenia cech. Książka przedstawia trudne tematy w przystępny sposób,zachęcając do zrozumienia budowy życia.","Wedrowka_przez_Dzungla_DNA.png",false,6
"Zapierające Mózg Zagadki Matematyczne","Math Maestro","Matematyczne Zagadki",2003,180,"Math Maestro prezentuje zbiór niezwykłych zagadek matematycznych,które sprawią,że czytelnicy będą myśleć kreatywnie i logicznie. Książka rozwija umiejętności matematyczne w sposób interaktywny i angażujący.","Zapierajace_Mozg_Zagadki_Matematyczne.png",false,6
"Tajniki Ekosystemów","Eco Explorer","Przyrodnicze Odkrycia",2003,210,"Eco Explorer przedstawia tajniki różnorodnych ekosystemów na Ziemi,ukazując delikatną równowagę między roślinami,zwierzętami i środowiskiem. Książka inspiruje do ochrony przyrody i zrozumienia jej skomplikowanej struktury.","Tajniki_Ekosystemow.png",false,6
"Podróże w Czasie: Historia Świata","Time Traveler","Przygodowe Odkrycia",2013,248,"Time Traveler przenosi czytelników w fascynującą podróż przez historię świata,opowiadając o kluczowych wydarzeniach i postaciach. Książka łączy w sobie wiedzę historyczną z elementami przygody,ucząc jednocześnie i bawiąc.","Podroze_w_Czasie_Historia_Swiata.png",false,6
"Tajemnice Ludzkiego Ciała","Anatomy Explorer","Medyczne Odkrycia",2003,230,"Anatomy Explorer rzuca światło na tajemnice ludzkiego ciała,przedstawiając jego budowę i funkcje w sposób przystępny dla młodych czytelników. Książka stanowi fascynującą podróż po anatomii,z ilustracjami ukazującymi wewnętrzne struktury ciała.","Tajemnice_Ludzkiego_Ciala.png",false,6
"Wielkie Odkrycia Geograficzne","Geography Voyager","Geograficzne Odkrycia",2003,200,"Geography Voyager opowiada o wielkich odkryciach geograficznych,które kształtowały oblicze świata. Książka przenosi czytelników w odległe podróże odkrywców,ukazując różnorodność kultur i krajobrazów.","Wielkie_Odkrycia_Geograficzne.png",true,6
"Niesamowite Zjawiska Przyrodnicze","Nature Enigma","Przyrodnicze Zagadki",2016,190,"Nature Enigma ukazuje niesamowite zjawiska przyrodnicze na Ziemi,wyjaśniając naukowe podstawy tych fenomenów. Książka wzbogacona jest pięknymi ilustracjami,przedstawiającymi magię natury i jej niezwykłe zdolności.","Niesamowite_Zjawiska_Przyrodnicze.png",false,6
"Skarb Piratów: Wyprawa W Zapomniane Wyspy","Captain Adventure","Morskie Opowieści",2003,280,"Captain Adventure zaprasza czytelników na ekscytującą wyprawę w poszukiwaniu legendarnego skarbu piratów ukrytego na Zapomnianej Wyspie. Czy bohaterowie zdołają pokonać niebezpieczeństwa i odkryć tajemnicze bogactwo?","Skarb_Piratow_Wyprawa_W_Zapomniane_Wyspy.png",false,7
"Zaginione Miasto El Dorado","Explorer Jones","Archeologiczne Odkrycia",2003,310,"Explorer Jones wyrusza w niebezpieczną podróż przez nieodkryte dżungle Ameryki Południowej,by odnaleźć legendarne Zaginione Miasto El Dorado. Książka pełna jest tajemniczych łamigłówek i ekscytujących przygód.","Zaginione_Miasto_El_Dorado.png",false,7
"Ostatni Smok: Przebudzenie","Dragon Seeker","Fantastyczne Opowieści",2003,290,"Dragon Seeker opowiada o ostatnim smoku,który budzi się po tysiącach lat snu. Młody bohater wyrusza w niebezpieczną podróż,by odnaleźć i ocalić ostatniego smoka przed zagładą. Czy uda mu się spełnić tę epicką misję?","Ostatni_Smok_Przebudzenie.png",false,7
"Łowcy Skarbów: Tajemnica Zapomnianej Piramidy","Treasure Hunters","Przygodowe Wydawnictwo",2003,260,"Treasure Hunters to zespół nieustraszonych łowców skarbów,którzy wyruszają na poszukiwanie zaginionej piramidy pełnej ukrytych bogactw. Czy zdołają rozszyfrować starożytne tajemnice i pokonać pułapki?","Lowcy_Skarbow_Tajemnica_Zapomnianej_Piramidy.png",false,7
"Safari Serca: Miłość W Dzikiej Przyrodzie","Wild Romance","Afrykańskie Opowieści",2003,240,"Wild Romance to wzruszająca opowieść o miłości,która rozkwita w sercu afrykańskiej przyrody. Bohaterowie przemierzają sawanny,tropikalne lasy i dzikie rzeki,odkrywając nie tylko piękno przyrody,ale także siebie nawzajem.","Safari_Serca_Milosc_W_Dzikiej_Przyrodzie.png",false,7
